resId;en;ru
DocStr2312;Информация о режиме работы биржи. Например, для FORTS будут значения 10:00-13:59, 14:03-18:49 и 19:00-23:49;Информация о режиме работы биржи. Например, для FORTS будут значения 10:00-13:59, 14:03-18:49 и 19:00-23:49
DocStr2441;Перевести локальное время в биржевое;Перевести локальное время в биржевое
DocStr2442;Время с биржевым сдвигом;Время с биржевым сдвигом
DocStr2443;Информация о инструменте;Информация о инструменте
DocStr2444;Перевести биржевое время в UTC;Перевести биржевое время в UTC
DocStr2445;Информация о бирже, из которой будет использоваться {0};Информация о бирже, из которой будет использоваться {0}
DocStr2446;Биржевое время в UTC;Биржевое время в UTC
DocStr2583;"Объект этого класса отвечает за общение с биржей BTCE. На одну пару ключ-секрет надо создавать один объект из-за параметра биржи ""nonce""";"Объект этого класса отвечает за общение с биржей BTCE. На одну пару ключ-секрет надо создавать один объект из-за параметра биржи ""nonce"""
DocStr2584;Конструктор объекта;Конструктор объекта
DocStr2585;API-ключ. NB не храните в коде!;API-ключ. NB не храните в коде!
DocStr2586;Секрет для подписи запросов. NB не храните в коде!;Секрет для подписи запросов. NB не храните в коде!
DocStr2587;Возвращает ИНФО от биржи. NB: Должен быть первым запросом к бирже, поскольку настраивает nonce;Возвращает ИНФО от биржи. NB: Должен быть первым запросом к бирже, поскольку настраивает nonce
DocStr2588;Возвращает транзакции на счете с последнего полного месяца. Если сегодня 10 марта, то полный месяц начинается с 1 февраля;Возвращает транзакции на счете с последнего полного месяца. Если сегодня 10 марта, то полный месяц начинается с 1 февраля
DocStr2589;Возвращает транзакции на счете с некоторой даты;Возвращает транзакции на счете с некоторой даты
DocStr2590;Дата, с которой вернуть транзакции;Дата, с которой вернуть транзакции
DocStr2591;Возвращает свои сделки на счете месяц по всем инструментам c определенной даты;Возвращает свои сделки на счете месяц по всем инструментам c определенной даты
DocStr2592;Идентификатор сделки, с которой нужны новые сделки;Идентификатор сделки, с которой нужны новые сделки
DocStr2593;Возвращает свои сделки на счете месяц по конкретному инструменту с последнего полного месяца;Возвращает свои сделки на счете месяц по конкретному инструменту с последнего полного месяца
DocStr2594;Интересующий инструмент (BTC_RUR);Интересующий инструмент (BTC_RUR)
DocStr2595;Возвращает свои сделки на счете месяц по конкретному инструменту c определенной даты;Возвращает свои сделки на счете месяц по конкретному инструменту c определенной даты
DocStr2596;Дата, с которой нужны сделки;Дата, с которой нужны сделки
DocStr2597;Возвращает заявки на счете месяц по всем инструментам;Возвращает заявки на счете месяц по всем инструментам
DocStr2598;Возвращает заявки на счете месяц по конкретному инструменту;Возвращает заявки на счете месяц по конкретному инструменту
DocStr2599;Создает заявку новую;Создает заявку новую
DocStr2600;Тип: sell или buy;Тип: sell или buy
DocStr2601;Отменяет заявку;Отменяет заявку
DocStr2602;Параметры отмены, где обязательным является OrderId;Параметры отмены, где обязательным является OrderId
DocStr2603;Запрашивает BTCE приватно, предварительно подписав запрос;Запрашивает BTCE приватно, предварительно подписав запрос
DocStr2604;Параметры запроса. без nonce, который добавится автоматически;Параметры запроса. без nonce, который добавится автоматически
DocStr2605;Запрашивает открытое АПИ BTCE;Запрашивает открытое АПИ BTCE
DocStr2606;Параметры запроса;Параметры запроса
DocStr2607;Возвращает количество проблемных запросов. Мы послали запрос с определенным nonce, а сервер сказал, что nonce неправильный. И приходится пересылать запрос еще раз с новым nonce;Возвращает количество проблемных запросов. Мы послали запрос с определенным nonce, а сервер сказал, что nonce неправильный. И приходится пересылать запрос еще раз с новым nonce
DocStr2999;S#.API;S#.API
DocStr3000;S#.Data;S#.Data
DocStr3001;S#.Studio;S#.Studio
DocStr3002;S#.Server;S#.Server
DocStr3003;S#.StrategyRunner;S#.StrategyRunner
DocStr3144;Consumer key;Consumer key
DocStr3145;Token;Token
DocStr3146;Secret;Secret
DocStr3216;Presence Map;Presence Map
DocStr3338;FIX 4.0;FIX 4.0
DocStr3339;FIX 4.1;FIX 4.1
DocStr3340;FIX 4.2;FIX 4.2
DocStr3341;FIX 4.3;FIX 4.3
DocStr3342;FIX 4.4;FIX 4.4
DocStr3343;FIX 4.4 (CFH Clearing);FIX 4.4 (CFH Clearing)
DocStr3344;FIX 4.4 (Micex);FIX 4.4 (Micex)
DocStr3345;FIX 4.4 (LUA);FIX 4.4 (LUA)
DocStr3346;FIX 5.0;FIX 5.0
DocStr3347;FIX 5.0 SP1;FIX 5.0 SP1
DocStr3348;FIX 5.0 SP2;FIX 5.0 SP2
DocStr3359;Option Volume For stocks only. Returns TickType.OptionCallVolume and TickType.OptionPutVolume;Option Volume For stocks only. Returns TickType.OptionCallVolume and TickType.OptionPutVolume
DocStr3360;Option Open Interest For stocks only. Returns TickType.OptionCallOpenInterest and TickType.OptionPutOpenInterest;Option Open Interest For stocks only. Returns TickType.OptionCallOpenInterest and TickType.OptionPutOpenInterest
DocStr3361;Historical Volatility For stocks only. Returns TickType.OptionHistoricalVol;Historical Volatility For stocks only. Returns TickType.OptionHistoricalVol
DocStr3362;Average Option Volume (currently for stocks);Average Option Volume (currently for stocks)
DocStr3363;Option Implied Volatility For stocks only. Returns TickType.OptionImpliedVol;Option Implied Volatility For stocks only. Returns TickType.OptionImpliedVol
DocStr3364;Close Implied Volatility;Close Implied Volatility
DocStr3365;Bond analytic data;Bond analytic data
DocStr3366;Index Future Premium Returns TickType.IndexFuturePremium;Index Future Premium Returns TickType.IndexFuturePremium
DocStr3367;Miscellaneous Stats Returns TickType.Low13Week, TickType.High13Week, TickType.Low26Week, TickType.High26Week, TickType.Low52Week, TickType.High52Week and TickType.AverageVolume;Miscellaneous Stats Returns TickType.Low13Week, TickType.High13Week, TickType.Low26Week, TickType.High26Week, TickType.Low52Week, TickType.High52Week and TickType.AverageVolume
DocStr3368;CScreen;CScreen
DocStr3369;Mark Price Used in TWS P/L Computations Returns TickType.MarkPrice;Mark Price Used in TWS P/L Computations Returns TickType.MarkPrice
DocStr3370;Auction Price Auction values (volume, price and imbalance) Returns TickType.AuctionVolume, TickType.AuctionPrice, TickType.AuctionImbalance;Auction Price Auction values (volume, price and imbalance) Returns TickType.AuctionVolume, TickType.AuctionPrice, TickType.AuctionImbalance
DocStr3371;Real Time Volume Tick Type;Real Time Volume Tick Type
DocStr3372;Shortable Ticks;Shortable Ticks
DocStr3373;Inventory Type;Inventory Type
DocStr3374;Fundamental Ratios Tick Type;Fundamental Ratios Tick Type
DocStr3375;Trade Count;Trade Count
DocStr3376;Trade Rate;Trade Rate
DocStr3377;Volume Rate;Volume Rate
DocStr3378;Last RTH Trade;Last RTH Trade
DocStr3379;Participation Monitor;Participation Monitor
DocStr3380;Ctt Tick Tag;Ctt Tick Tag
DocStr3381;IB Rate;IB Rate
DocStr3382;Rfq Tick Resp Tag;Rfq Tick Resp Tag
DocStr3383;DMM;DMM
DocStr3384;Issuer Fundamentals;Issuer Fundamentals
DocStr3385;IB Warrant Imp Vol Compete Tick;IB Warrant Imp Vol Compete Tick
DocStr3386;Futures Margins;Futures Margins
DocStr3387;Realtime Historical Volatility;Realtime Historical Volatility
DocStr3388;Monetary Close Price;Monetary Close Price
DocStr3389;RTCLOSE;RTCLOSE
DocStr3390;MonitorTickTag;MonitorTickTag
DocStr3416;VWAP;VWAP
DocStr3449;Exempt Code for Short Sale Exemption Orders;Exempt Code for Short Sale Exemption Orders
DocStr3462;Returns the current system time on the server side;Returns the current system time on the server side
DocStr3463;Returns one next valid Id;Returns one next valid Id
DocStr3464;Has No Effect;Has No Effect
DocStr3468;Call the reqScannerParameters() method to receive an XML document that describes the valid parameters that a scanner subscription can have;Call the reqScannerParameters() method to receive an XML document that describes the valid parameters that a scanner subscription can have
DocStr3469;Call this method to request market data. The market data will be returned by the tickPrice, tickSize, tickOptionComputation(), tickGeneric(), tickString() and tickEFP() methods;Call this method to request market data. The market data will be returned by the tickPrice, tickSize, tickOptionComputation(), tickGeneric(), tickString() and tickEFP() methods
DocStr3470;this structure contains a description of the contract for which market data is being requested;this structure contains a description of the contract for which market data is being requested
DocStr3471;comma delimited list of generic tick types. Tick types can be found here: (new Generic Tick Types page);comma delimited list of generic tick types. Tick types can be found here: (new Generic Tick Types page)
DocStr3472;Allows client to request snapshot market data;Allows client to request snapshot market data
DocStr3473;Market Data Off - used in conjunction with RTVolume Generic tick type causes only volume data to be sent;Market Data Off - used in conjunction with RTVolume Generic tick type causes only volume data to be sent
DocStr3474;After calling this method, market data for the specified Id will stop flowing;After calling this method, market data for the specified Id will stop flowing
DocStr3475;used for reqHistoricalData;used for reqHistoricalData
DocStr3483;Call this method to request market depth for a specific contract. The market depth will be returned by the updateMktDepth() and updateMktDepthL2() methods;Call this method to request market depth for a specific contract. The market depth will be returned by the updateMktDepth() and updateMktDepthL2() methods
DocStr3484;this structure contains a description of the contract for which market depth data is being requested;this structure contains a description of the contract for which market depth data is being requested
DocStr3485;After calling this method, market depth data for the specified Id will stop flowing;After calling this method, market depth data for the specified Id will stop flowing
DocStr3486;Call this method to start receiving news bulletins. Each bulletin will be returned by the updateNewsBulletin() method;Call this method to start receiving news bulletins. Each bulletin will be returned by the updateNewsBulletin() method
DocStr3487;if set to {0}, returns all the existing bulletins for the current day and any new ones. IF set to {1}, will only return new bulletins;if set to {0}, returns all the existing bulletins for the current day and any new ones. IF set to {1}, will only return new bulletins
DocStr3488;Call this method to stop receiving news bulletins;Call this method to stop receiving news bulletins
DocStr3489;Call this function to download all details for a particular underlying. the contract details will be received via the contractDetails() function on the EWrapper;Call this function to download all details for a particular underlying. the contract details will be received via the contractDetails() function on the EWrapper
DocStr3490;summary description of the contract being looked up;summary description of the contract being looked up
DocStr3497;Call the exerciseOptions() method to exercise options. “SMART” is not an allowed exchange in exerciseOptions() calls, and that TWS does a moneyness request for the position in question whenever any API initiated exercise or lapse is attempted;Call the exerciseOptions() method to exercise options. “SMART” is not an allowed exchange in exerciseOptions() calls, and that TWS does a moneyness request for the position in question whenever any API initiated exercise or lapse is attempted
DocStr3498;this structure contains a description of the contract to be exercised.  If no multiplier is specified, a default of 100 is assumed;this structure contains a description of the contract to be exercised.  If no multiplier is specified, a default of 100 is assumed
DocStr3499;this can have two values: 1 = specifies exercise 2 = specifies lapse;this can have two values: 1 = specifies exercise 2 = specifies lapse
DocStr3500;the number of contracts to be exercised;the number of contracts to be exercised
DocStr3501;"specifies whether your setting will override the system's natural action. For example, if your action is ""exercise"" and the option is not in-the-money, by natural action the option would not exercise. If you have override set to ""yes"" the natural action would be overridden and the out-of-the money option would be exercised. Values are: 0 = no 1 = yes";"specifies whether your setting will override the system's natural action. For example, if your action is ""exercise"" and the option is not in-the-money, by natural action the option would not exercise. If you have override set to ""yes"" the natural action would be overridden and the out-of-the money option would be exercised. Values are: 0 = no 1 = yes"
DocStr3502;Call this function to start getting account values, portfolio, and last update time information;Call this function to start getting account values, portfolio, and last update time information
DocStr3503;If set to {0}, the client will start receiving account and portfolio updates. If set to {1}, the client will stop receiving this information;If set to {0}, the client will start receiving account and portfolio updates. If set to {1}, the client will stop receiving this information
DocStr3504;the account code for which to receive account and portfolio updates;the account code for which to receive account and portfolio updates
DocStr3505;When this method is called, the execution reports that meet the filter criteria are downloaded to the client via the execDetails() method;When this method is called, the execution reports that meet the filter criteria are downloaded to the client via the execDetails() method
DocStr3506;the filter criteria used to determine which execution reports are returned;the filter criteria used to determine which execution reports are returned
DocStr3507;"Call this method to request the open orders that were placed from this client. Each open order will be fed back through the openOrder() and orderStatus() functions on the EWrapper. The client with a clientId of ""0"" will also receive the TWS-owned open orders. These orders will be associated with the client and a new orderId will be generated. This association will persist over multiple API and TWS sessions";"Call this method to request the open orders that were placed from this client. Each open order will be fed back through the openOrder() and orderStatus() functions on the EWrapper. The client with a clientId of ""0"" will also receive the TWS-owned open orders. These orders will be associated with the client and a new orderId will be generated. This association will persist over multiple API and TWS sessions"
DocStr3508;Call this method to request that newly created TWS orders be implicitly associated with the client. When a new TWS order is created, the order will be associated with the client and fed back through the openOrder() and orderStatus() methods on the EWrapper. TWS orders can only be bound to clients with a clientId of “0”;Call this method to request that newly created TWS orders be implicitly associated with the client. When a new TWS order is created, the order will be associated with the client and fed back through the openOrder() and orderStatus() methods on the EWrapper. TWS orders can only be bound to clients with a clientId of “0”
DocStr3509;If set to {0}, newly created TWS orders will be implicitly associated with the client. If set to {1}, no association will be made;If set to {0}, newly created TWS orders will be implicitly associated with the client. If set to {1}, no association will be made
DocStr3510;Call this method to request the open orders that were placed from all clients and also from TWS. Each open order will be fed back through the openOrder() and orderStatus() functions on the EWrapper. No association is made between the returned orders and the requesting client;Call this method to request the open orders that were placed from all clients and also from TWS. Each open order will be fed back through the openOrder() and orderStatus() functions on the EWrapper. No association is made between the returned orders and the requesting client
DocStr3511;Call this method to request the list of managed accounts. The list will be returned by the managedAccounts() function on the EWrapper. This request can only be made when connected to a Financial Advisor (FA) account;Call this method to request the list of managed accounts. The list will be returned by the managedAccounts() function on the EWrapper. This request can only be made when connected to a Financial Advisor (FA) account
DocStr3516;Undefined Incoming Message;Undefined Incoming Message
DocStr3517;Incoming Tick Types;Incoming Tick Types
DocStr3518;Bid Size;Bid Size
DocStr3519;Bid Price;Bid Price
DocStr3520;Ask Price;Ask Price
DocStr3521;Ask Size;Ask Size
DocStr3522;Last Price;Last Price
DocStr3523;Last Size;Last Size
DocStr3524;High Price;High Price
DocStr3525;Low Price;Low Price
DocStr3526;Volume;Volume
DocStr3527;Close Price;Close Price
DocStr3528;Bid Option;Bid Option
DocStr3529;Ask Option;Ask Option
DocStr3530;Last Option;Last Option
DocStr3531;Model Option;Model Option
DocStr3532;Open Price;Open Price
DocStr3533;Low Price over last 13 weeks;Low Price over last 13 weeks
DocStr3534;High Price over last 13 weeks;High Price over last 13 weeks
DocStr3535;Low Price over last 26 weeks;Low Price over last 26 weeks
DocStr3536;High Price over last 26 weeks;High Price over last 26 weeks
DocStr3537;Low Price over last 52 weeks;Low Price over last 52 weeks
DocStr3538;High Price over last 52 weeks;High Price over last 52 weeks
DocStr3539;Average Volume;Average Volume
DocStr3540;Open Interest;Open Interest
DocStr3541;Option Historical Volatility;Option Historical Volatility
DocStr3542;Option Implied Volatility;Option Implied Volatility
DocStr3543;Option Bid Exchange;Option Bid Exchange
DocStr3544;Option Ask Exchange;Option Ask Exchange
DocStr3545;Option Call Open Interest;Option Call Open Interest
DocStr3546;Option Put Open Interest;Option Put Open Interest
DocStr3547;Option Call Volume;Option Call Volume
DocStr3548;Option Put Volume;Option Put Volume
DocStr3549;Index Future Premium;Index Future Premium
DocStr3550;Bid Exchange;Bid Exchange
DocStr3551;Ask Exchange;Ask Exchange
DocStr3552;Auction Volume;Auction Volume
DocStr3553;Auction Price;Auction Price
DocStr3554;Auction Imbalance;Auction Imbalance
DocStr3555;Mark Price;Mark Price
DocStr3556;Bid EFP Computation;Bid EFP Computation
DocStr3557;Ask EFP Computation;Ask EFP Computation
DocStr3558;Last EFP Computation;Last EFP Computation
DocStr3559;Open EFP Computation;Open EFP Computation
DocStr3560;High EFP Computation;High EFP Computation
DocStr3561;Low EFP Computation;Low EFP Computation
DocStr3562;Close EFP Computation;Close EFP Computation
DocStr3563;Last Time Stamp;Last Time Stamp
DocStr3564;Shortable;Shortable
DocStr3565;Fundamental Ratios;Fundamental Ratios
DocStr3566;Real Time Volume;Real Time Volume
DocStr3567;When trading is halted for a contract, TWS receives a special tick: haltedLast=1. When trading is resumed, TWS receives haltedLast=0. A new tick type, HALTED, tick ID = 49, is now available in regular market data via the API to indicate this halted state. Possible values for this new tick type are: 0 = Not halted 1 = Halted;When trading is halted for a contract, TWS receives a special tick: haltedLast=1. When trading is resumed, TWS receives haltedLast=0. A new tick type, HALTED, tick ID = 49, is now available in regular market data via the API to indicate this halted state. Possible values for this new tick type are: 0 = Not halted 1 = Halted
DocStr3568;Bond Yield for Bid Price;Bond Yield for Bid Price
DocStr3569;Bond Yield for Ask Price;Bond Yield for Ask Price
DocStr3570;Bond Yield for Last Price;Bond Yield for Last Price
DocStr3571;returns calculated implied volatility as a result of an calculateImpliedVolatility( ) request;returns calculated implied volatility as a result of an calculateImpliedVolatility( ) request
DocStr3573;Trades per Minute;Trades per Minute
DocStr3574;Volume per Minute;Volume per Minute
DocStr3575;Last Regular Trading Hours Trade;Last Regular Trading Hours Trade
DocStr3576;Real Time Historical Volatility;Real Time Historical Volatility
DocStr3577;Argument passed to interactive brokers when requesting execution history;Argument passed to interactive brokers when requesting execution history
DocStr3578;Filter the results of the ReqExecutions() method based on the clientId;Filter the results of the ReqExecutions() method based on the clientId
DocStr3579;Filter the results of the ReqExecutions() method based on an account code;Filter the results of the ReqExecutions() method based on an account code
DocStr3580;This is only relevant for Financial Advisor (FA) accounts;This is only relevant for Financial Advisor (FA) accounts
DocStr3581;Filter the results of the ReqExecutions() method based on execution reports received after the specified time;Filter the results of the ReqExecutions() method based on execution reports received after the specified time
DocStr3582;"The format for timeFilter is ""yyyymmdd-hh:mm:ss""";"The format for timeFilter is ""yyyymmdd-hh:mm:ss"""
DocStr3583;Filter the results of the ReqExecutions() method based on the order symbol;Filter the results of the ReqExecutions() method based on the order symbol
DocStr3584;Filter the results of the ReqExecutions() method based on the order security type;Filter the results of the ReqExecutions() method based on the order security type
DocStr3585;Refer to the Contract struct for the list of valid security types;Refer to the Contract struct for the list of valid security types
DocStr3586;Filter the results of the ReqExecutions() method based on the order exchange;Filter the results of the ReqExecutions() method based on the order exchange
DocStr3587;Filter the results of the ReqExecutions() method based on the order action;Filter the results of the ReqExecutions() method based on the order action
DocStr3588;Refer to the Order struct for the list of valid order actions;Refer to the Order struct for the list of valid order actions
DocStr3616;Returns the version of the TWS instance the API application is connected to;Returns the version of the TWS instance the API application is connected to
DocStr4068;{0}, если значения равны. Иначе, {1};{0}, если значения равны. Иначе, {1}
DocStr4116;Afghanistan, Afghanis;Afghanistan, Afghanis
DocStr4117;Turkmenistan, Turkmenistani manat;Turkmenistan, Turkmenistani manat
DocStr4118;Uzbekistan, Uzbekistan som;Uzbekistan, Uzbekistan som
DocStr4119;Tajikistan, Somoni;Tajikistan, Somoni
DocStr4120;Armenia, Armenian dram;Armenia, Armenian dram
DocStr4121;International Monetary Fund, Special Drawing Rights;International Monetary Fund, Special Drawing Rights
DocStr4122;Azerbaijan, Azerbaijani manat;Azerbaijan, Azerbaijani manat
DocStr4123;Belarus, Belarusian ruble;Belarus, Belarusian ruble
DocStr4124;Romania, Romanian new leu;Romania, Romanian new leu
DocStr4125;Bulgaria, Bulgarian lev;Bulgaria, Bulgarian lev
DocStr4126;Kyrgyzstan, Kyrgyzstani som;Kyrgyzstan, Kyrgyzstani som
DocStr4127;Albania, Leke;Albania, Leke
DocStr4128;Algeria, Algeria Dinars;Algeria, Algeria Dinars
DocStr4129;Argentina, Pesos;Argentina, Pesos
DocStr4130;Aruba, Guilders (also called Florins);Aruba, Guilders (also called Florins)
DocStr4131;Australia, Dollars;Australia, Dollars
DocStr4132;Bahamas, Dollars;Bahamas, Dollars
DocStr4133;Bahrain, Dinars;Bahrain, Dinars
DocStr4134;Bangladesh, Taka;Bangladesh, Taka
DocStr4135;Barbados, Dollars;Barbados, Dollars
DocStr4136;Belize, Dollars;Belize, Dollars
DocStr4137;Bermuda, Dollars;Bermuda, Dollars
DocStr4138;Bhutan, Ngultrum;Bhutan, Ngultrum
DocStr4139;Bolivia, Bolivianos;Bolivia, Bolivianos
DocStr4140;Botswana, Pulas;Botswana, Pulas
DocStr4141;Brazil, Brazil Real;Brazil, Brazil Real
DocStr4142;United Kingdom, Pounds sterling;United Kingdom, Pounds sterling
DocStr4143;Brunei Darussalam, Dollars;Brunei Darussalam, Dollars
DocStr4144;Burundi, Francs;Burundi, Francs
DocStr4145;Communaute Financiere Africaine BCEAO, Francs;Communaute Financiere Africaine BCEAO, Francs
DocStr4146;Communaute Financiere Africaine BEAC, Francs;Communaute Financiere Africaine BEAC, Francs
DocStr4147;Cambodia, Riels;Cambodia, Riels
DocStr4148;Canada, Dollars;Canada, Dollars
DocStr4149;Cape Verde, Escudos;Cape Verde, Escudos
DocStr4150;Cayman Islands, Dollars;Cayman Islands, Dollars
DocStr4151;Chile, Pesos;Chile, Pesos
DocStr4152;China, Yuan Renminbi;China, Yuan Renminbi
DocStr4153;China, offshore RMB;China, offshore RMB
DocStr4154;Colombia, Pesos;Colombia, Pesos
DocStr4155;Comoros, Francs;Comoros, Francs
DocStr4156;Costa Rica, Colones;Costa Rica, Colones
DocStr4157;Croatia, Kuna;Croatia, Kuna
DocStr4158;Cuba, Pesos;Cuba, Pesos
DocStr4159;Cyprus, Pounds;Cyprus, Pounds
DocStr4160;Czech Republic, Koruny;Czech Republic, Koruny
DocStr4161;Denmark, Kroner;Denmark, Kroner
DocStr4162;Djibouti, Francs;Djibouti, Francs
DocStr4163;Dominican Republic, Pesos;Dominican Republic, Pesos
DocStr4164;East Caribbean Dollars;East Caribbean Dollars
DocStr4165;Egypt, Pounds;Egypt, Pounds
DocStr4166;El Salvador, Colones;El Salvador, Colones
DocStr4167;Estonia, Krooni;Estonia, Krooni
DocStr4168;Ethiopia, Birr;Ethiopia, Birr
DocStr4169;Euro Member Countries, Euro;Euro Member Countries, Euro
DocStr4170;Falkland Islands (Malvinas), Pounds;Falkland Islands (Malvinas), Pounds
DocStr4171;Gambia, Dalasi;Gambia, Dalasi
DocStr4172;Ghana, Cedis;Ghana, Cedis
DocStr4173;Gibraltar, Pounds;Gibraltar, Pounds
